wordLength,avgGuessesPerLetter,avgCorrectGuessesPerLetter,avgWrongGuessesPerLetter,stddevGuessesPerLetter,stddevCorrectGuessesPerLetter,stddevWrongGuessesPerLetter
2,9.21259842519685,1.9606299212598426,7.251968503937008,3.8528646082014575,0.19447384307446336,3.8104053640496143
3,11.42761692650334,2.8775055679287305,8.550111358574611,3.9645508494047625,0.3345801685205153,3.9016650247461713
4,10.551614047534587,3.712664065271373,6.838949982263214,3.1872640398349956,0.49519073864258883,3.120603088624375
5,9.632207832254085,4.418825161887142,5.213382670366944,2.6435106571540268,0.6720903469275337,2.522476157934287
6,8.885989666999523,4.9160335171276,3.9699561498719227,2.3674756856426598,0.9001659017780818,2.1355857122118964
7,8.403412730766991,5.32088987245938,3.0825228583076116,2.2743971038263053,1.1103280687123795,1.8744916047858007
8,7.743036773428233,5.49067615658363,2.2523606168446024,2.024428694027159,1.333177651612897,1.4604687341180143
9,7.12305219761023,5.522837910232222,1.6002142873780076,1.8986435795836965,1.5156760313452362,1.1711251876393236
10,6.556814824761649,5.419390358533637,1.1374244662280113,1.8805368683809534,1.6555614097964044,0.9699084554115978
11,6.100871602301305,5.27064457229476,0.8302270300065456,1.9646043459889584,1.7857647298118138,0.8482828505467505
12,5.687039239001189,5.062972651605232,0.6240665873959572,2.03749301778167,1.8969983700933226,0.724978897779003
13,5.383408853258976,4.900871383757407,0.4825374695015685,2.077972094180978,1.9779727944490424,0.6387005169668013
14,5.083430882196446,4.724060870490582,0.3593700117058636,2.0700870052890616,2.00498181913196,0.5594779592972132
15,4.997805907172996,4.732658227848101,0.2651476793248945,2.3080476150962745,2.238992036361005,0.4791787974889633
