wordLength,avgGuessesPerLetter,avgCorrectGuessesPerLetter,avgWrongGuessesPerLetter,stddevGuessesPerLetter,stddevCorrectGuessesPerLetter,stddevWrongGuessesPerLetter
2,9.21259842519685,1.9606299212598426,7.251968503937008,3.8528646082014575,0.19447384307446336,3.8104053640496143
3,11.424647364513735,2.8782479584261322,8.546399406087602,3.9532439676146867,0.3315087388532441,3.8961891073010273
4,10.54930826534232,3.715324583185527,6.833983682156793,3.1577253787526858,0.49403967064510007,3.1002697226290663
5,9.650632130743139,4.4307739747147705,5.219858156028369,2.624728005474739,0.6698679131500332,2.5115055095253376
6,8.926627013415533,4.942777753657795,3.983849259757739,2.337870023319784,0.8889784501403878,2.123217678792478
7,8.44933317803273,5.362180420476385,3.087152757556345,2.2293078816993708,1.1060635702081683,1.8404895479607153
8,7.806785290628707,5.57017793594306,2.2366073546856464,1.9918723310791346,1.32403561596669,1.4309352461134888
9,7.229590291850092,5.649360631681923,1.580229660168169,1.8783361906023648,1.5203606151796958,1.1418289260778838
10,6.721444877131731,5.611494561568417,1.1099503155633141,1.8867124315232582,1.6752439627016267,0.9482353892254016
11,6.347159541116891,5.548558238881042,0.7986013022358494,2.0186087237835117,1.8555726146565226,0.8260458306685704
12,6.0174078478002375,5.416218787158145,0.6011890606420928,2.0894802331200766,2.008266736830101,0.700364106883619
13,5.721296619031021,5.286859532938306,0.43443708609271525,2.23888360186585,2.16542386391646,0.6082153999825176
14,5.448547408747473,5.130680004256678,0.3178674044907949,2.314993917152036,2.2557442065957707,0.5279795238936373
15,5.391054852320675,5.155105485232068,0.2359493670886076,2.5504504742228966,2.493619133163268,0.4586059935848201
