wordLength,avgGuessesPerLetter,avgCorrectGuessesPerLetter,avgWrongGuessesPerLetter,stddevGuessesPerLetter,stddevCorrectGuessesPerLetter,stddevWrongGuessesPerLetter
2,10.078740157480315,1.968503937007874,8.11023622047244,4.460864467636694,0.17465411821117116,4.410489191102255
3,13.117297698589459,2.861915367483296,10.255382331106162,4.667525663090364,0.3492661288602702,4.593509872186991
4,13.036183043632494,3.65679318907414,9.379389854558355,3.887898349439741,0.5244796439559571,3.802304269087092
5,11.868177613320999,4.2362010484119645,7.631976564909035,3.567340200396341,0.7333452463605905,3.492261125340821
6,10.820822298441367,4.584378934572135,6.236443363869231,3.361912967895208,0.9076264939396345,3.135974962843973
7,9.822840836293752,4.841447789878283,4.981393046415468,3.1634384329034018,1.057924100087449,2.804550441428686
8,8.573570581257414,4.89938315539739,3.6741874258600236,2.7105319724376367,1.1667017513318738,2.350652295423947
9,7.572683017725293,4.891062818810705,2.681620198914588,2.2792517482658217,1.2586967242118898,1.8462119350933288
10,6.764576339465557,4.8188800859406475,1.9456962535249094,1.97698776633027,1.320206120398611,1.4783718740569352
11,6.20939125641644,4.739725083542909,1.4696661728735316,1.9395320423949671,1.4570080993541459,1.2816166038007921
12,5.727847800237812,4.590344827586207,1.1375029726516053,1.9133270027372768,1.5549336922062456,1.1076102308998492
13,5.368909027535727,4.506936214708958,0.861972812826769,1.9620969822827188,1.682575492827865,0.951039356205109
14,4.896349898903906,4.258061083324465,0.6382888155794403,1.55933494340927,1.4158380596623616,0.7704188084284996
15,4.589198312236287,4.0987341772151895,0.49046413502109704,1.4741719375976883,1.3930048573905898,0.6813626485508915
